Kecamatan;Desa/Kelurahan;Kota/Kabupaten;Jumlah Penduduk
Bambanglipuro;Mulyodadi;Bantul;12.031
Bambanglipuro;Sidomulyo;Bantul;14.036
Bambanglipuro;Sumbermulyo;Bantul;16.086
Banguntapan;Banguntapan;Bantul;39.186
Banguntapan;Baturetno;Bantul;17.705
Banguntapan;Jagalan;Bantul;2.974
Banguntapan;Jambidan;Bantul;11.010
Banguntapan;Potorono;Bantul;14.279
Banguntapan;Singosaren;Bantul;4.018
Banguntapan;Tamanan;Bantul;13.172
Banguntapan;Wirokerten;Bantul;15.531
Bantul;Bantul;Bantul;16.980
Bantul;Palbapang;Bantul;14.348
Bantul;Ringinharjo;Bantul;8.744
Bantul;Sabdodadi;Bantul;7.180
Bantul;Trirenggo;Bantul;19.453
Dlingo;Dlingo;Bantul;5.933
Dlingo;Jatimulyo;Bantul;7.225
Dlingo;Mangunan;Bantul;5.035
Dlingo;Muntuk;Bantul;8.945
Dlingo;Temuwuh;Bantul;7.484
Dlingo;Terong;Bantul;5.838
Imogiri;Girirejo;Bantul;4.881
Imogiri;Imogiri;Bantul;4.204
Imogiri;Karangtalun;Bantul;3.174
Imogiri;Karangtengah;Bantul;5.604
Imogiri;Kebonagung;Bantul;3.960
Imogiri;Selopamioro;Bantul;15.307
Imogiri;Sriharjo;Bantul;9.492
Imogiri;Wukirsari;Bantul;18.391
Jetis;Canden;Bantul;12.331
Jetis;Patalan;Bantul;12.250
Jetis;Sumberagung;Bantul;15.689
Jetis;Trimulyo;Bantul;19.284
Kasihan;Bangunjiwo;Bantul;29.310
Kasihan;Ngestiharjo;Bantul;30.282
Kasihan;Tamantirto;Bantul;23.996
Kasihan;Tirtonirmolo;Bantul;23.907
Kretek;Donotirto;Bantul;8.355
Kretek;Parangtritis;Bantul;8.055
Kretek;Tirtohargo;Bantul;3.024
Kretek;Tirtomulyo;Bantul;7.036
Kretek;Tirtosari;Bantul;4.396
Pajangan;Guwosari;Bantul;14.075
Pajangan;Sendangsari;Bantul;12.506
Pajangan;Triwidadi;Bantul;11.159
Pandak;Caturharjo;Bantul;11.755
Pandak;Gilangharjo;Bantul;16.147
Pandak;Triharjo;Bantul;13.464
Pandak;Wijirejo;Bantul;11.366
Piyungan;Sitimulyo;Bantul;18.576
Piyungan;Srimartani;Bantul;17.570
Piyungan;Srimulyo;Bantul;18.545
Pleret;Bawuran;Bantul;6.692
Pleret;Pleret;Bantul;14.037
Pleret;Segoroyoso;Bantul;9.321
Pleret;Wonokromo;Bantul;15.101
Pleret;Wonolelo;Bantul;5.040
Pundong;Panjangrejo;Bantul;9.645
Pundong;Seloharjo;Bantul;12.059
Pundong;Srihardono;Bantul;14.476
Sanden;Gadingharjo;Bantul;3.812
Sanden;Gadingsari;Bantul;10.050
Sanden;Murtigading;Bantul;9.546
Sanden;Srigading;Bantul;8.475
Sedayu;Argodadi;Bantul;12.190
Sedayu;Argomulyo;Bantul;15.102
Sedayu;Argorejo;Bantul;13.321
Sedayu;Argosari;Bantul;9.421
Sewon;Bangunharjo;Bantul;27.024
Sewon;Panggungharjo;Bantul;29.104
Sewon;Pendowoharjo;Bantul;23.423
Sewon;Timbulharjo;Bantul;23.687
Srandakan;Poncosari;Bantul;13.072
Srandakan;Trimurti;Bantul;18.107
Gedangsari;Hargomulyo;Gunungkidul;7.381
Gedangsari;Mertelu;Gunungkidul;3.787
Gedangsari;Ngalang;Gunungkidul;8.706
Gedangsari;Sampang;Gunungkidul;3.044
Gedangsari;Serut;Gunungkidul;5.138
Gedangsari;Tegalrejo;Gunungkidul;8.079
Gedangsari;Watugajah;Gunungkidul;4.148
Girisubo;Balong;Gunungkidul;3.996
Girisubo;Jepitu;Gunungkidul;4.232
Girisubo;Jerukwudel;Gunungkidul;1.850
Girisubo;Karangawen;Gunungkidul;1.622
Girisubo;Nglindur;Gunungkidul;2.687
Girisubo;Pucung;Gunungkidul;3.255
Girisubo;Songbanyu;Gunungkidul;3.470
Girisubo;Tileng;Gunungkidul;4.300
Karangmojo;Bejiharjo;Gunungkidul;16.343
Karangmojo;Bendungan;Gunungkidul;2.255
Karangmojo;Gedangrejo;Gunungkidul;6.258
Karangmojo;Jatiayu;Gunungkidul;7.705
Karangmojo;Karangmojo;Gunungkidul;9.039
Karangmojo;Kelor;Gunungkidul;3.227
Karangmojo;Ngawis;Gunungkidul;4.169
Karangmojo;Ngipak;Gunungkidul;3.599
Karangmojo;Wiladeg;Gunungkidul;4.390
Ngawen;Beji;Gunungkidul;4.272
Ngawen;Jurangjero;Gunungkidul;4.715
Ngawen;Kampung;Gunungkidul;6.777
Ngawen;Sambirejo;Gunungkidul;7.788
Ngawen;Tancep;Gunungkidul;6.095
Ngawen;Watusigar;Gunungkidul;5.591
Nglipar;Katongan;Gunungkidul;5.023
Nglipar;Kedungkeris;Gunungkidul;4.815
Nglipar;Kedungpoh;Gunungkidul;6.269
Nglipar;Natah;Gunungkidul;3.874
Nglipar;Nglipar;Gunungkidul;4.563
Nglipar;Pengkol;Gunungkidul;5.666
Nglipar;Pilangrejo;Gunungkidul;3.652
Paliyan;Giring;Gunungkidul;2.936
Paliyan;Grogol;Gunungkidul;2.396
Paliyan;Karangasem;Gunungkidul;8.272
Paliyan;Karangduwet;Gunungkidul;6.755
Paliyan;Mulusan;Gunungkidul;5.371
Paliyan;Pampang;Gunungkidul;2.705
Paliyan;Sodo;Gunungkidul;4.830
Panggang;Giriharjo;Gunungkidul;4.048
Panggang;Girikarto;Gunungkidul;4.072
Panggang;Girimulyo;Gunungkidul;5.907
Panggang;Girisekar;Gunungkidul;7.779
Panggang;Girisuko;Gunungkidul;5.560
Panggang;Giriwungu;Gunungkidul;2.538
Patuk;Beji;Gunungkidul;2.704
Patuk;Bunder;Gunungkidul;3.517
Patuk;Nglanggeran;Gunungkidul;2.715
Patuk;Nglegi;Gunungkidul;3.232
Patuk;Ngoro-oro;Gunungkidul;3.684
Patuk;Patuk;Gunungkidul;2.917
Patuk;Pengkok;Gunungkidul;3.180
Patuk;Putat;Gunungkidul;4.333
Patuk;Salam;Gunungkidul;3.233
Patuk;Semoyo;Gunungkidul;2.787
Patuk;Terbah;Gunungkidul;2.630
Playen;Banaran;Gunungkidul;4.346
Playen;Bandung;Gunungkidul;4.066
Playen;Banyusoco;Gunungkidul;5.994
Playen;Bleberan;Gunungkidul;5.787
Playen;Dengok;Gunungkidul;2.534
Playen;Gading;Gunungkidul;6.319
Playen;Getas;Gunungkidul;5.649
Playen;Logandeng;Gunungkidul;9.138
Playen;Ngawu;Gunungkidul;4.144
Playen;Ngleri;Gunungkidul;2.772
Playen;Ngunut;Gunungkidul;2.392
Playen;Playen;Gunungkidul;4.481
Playen;Plembutan;Gunungkidul;5.005
Ponjong;Bedoyo;Gunungkidul;4.171
Ponjong;Genjahan;Gunungkidul;5.837
Ponjong;Gombang;Gunungkidul;3.403
Ponjong;Karangasem;Gunungkidul;2.655
Ponjong;Kenteng;Gunungkidul;3.327
Ponjong;Ponjong;Gunungkidul;5.092
Ponjong;Sawahan;Gunungkidul;5.768
Ponjong;Sidorejo;Gunungkidul;9.620
Ponjong;Sumbergiri;Gunungkidul;4.824
Ponjong;Tambakromo;Gunungkidul;4.211
Ponjong;Umbulrejo;Gunungkidul;7.440
Purwosari;Giriasih;Gunungkidul;1.521
Purwosari;Giricahyo;Gunungkidul;4.295
Purwosari;Girijati;Gunungkidul;2.065
Purwosari;Giripurwo;Gunungkidul;9.231
Purwosari;Giritirto;Gunungkidul;4.205
Rongkop;Bohol;Gunungkidul;1.320
Rongkop;Botodayaan;Gunungkidul;4.999
Rongkop;Karangwuni;Gunungkidul;3.835
Rongkop;Melikan;Gunungkidul;3.462
Rongkop;Petir;Gunungkidul;3.622
Rongkop;Pringombo;Gunungkidul;3.944
Rongkop;Pucanganom;Gunungkidul;4.019
Rongkop;Semugih;Gunungkidul;4.853
Saptosari;Jetis;Gunungkidul;5.425
Saptosari;Kanigoro;Gunungkidul;7.075
Saptosari;Kepek;Gunungkidul;6.300
Saptosari;Krambilsawit;Gunungkidul;6.557
Saptosari;Monggol;Gunungkidul;5.000
Saptosari;Ngloro;Gunungkidul;3.454
Saptosari;Planjan;Gunungkidul;6.497
Semanu;Candirejo;Gunungkidul;8.058
Semanu;Dadapayu;Gunungkidul;7.879
Semanu;Ngeposari;Gunungkidul;10.441
Semanu;Pacarejo;Gunungkidul;17.257
